09/25/2024 21:19:07.113902 ./pingserver:     C150DgmSocket::read: successful read with len=5 |jiji.|
09/25/2024 21:19:07.113927 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 5 |jiji.|
09/25/2024 21:19:07.113948 ./pingserver:     Successfully read 5 bytes. Message="jiji"
09/25/2024 21:19:07.113966 ./pingserver:     Responding with message="You said jiji. Don't you know how to play ping pong?"
09/25/2024 21:19:07.113989 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=53 |You said jiji. Don't you know how to play ping pong?.|
09/25/2024 21:19:07.114432 ./pingserver:     C150DgmSocket::write: Success writing packet with len=53 |You said jiji. Don't you know how to play ping pong?.|
09/25/2024 21:19:08.798520 ./pingserver:     C150DgmSocket::read: successful read with len=7 |jjojoj.|
09/25/2024 21:19:08.798551 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 7 |jjojoj.|
09/25/2024 21:19:08.798569 ./pingserver:     Successfully read 7 bytes. Message="jjojoj"
09/25/2024 21:19:08.798587 ./pingserver:     Responding with message="You said jjojoj. Don't you know how to play ping pong?"
09/25/2024 21:19:08.798611 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=55 |You said jjojoj. Don't you know how to play ping pong?.|
09/25/2024 21:19:08.798677 ./pingserver:     C150DgmSocket::write: Success writing packet with len=55 |You said jjojoj. Don't you know how to play ping pong?.|
09/25/2024 21:19:10.408757 ./pingserver:     C150DgmSocket::read: successful read with len=9 |njnijiji.|
09/25/2024 21:19:10.408777 ./pingserver:     C150NastyDgmSocket::read: dropping packet of length 9 |njnijiji.|
09/25/2024 21:19:10.408797 ./pingserver:     C150NastyDgmSocket::read: delivering delayed packet. readlen=13 |xjfeiwjfeiwq.|
09/25/2024 21:19:10.408815 ./pingserver:     Successfully read 13 bytes. Message="xjfeiwjfeiwq"
09/25/2024 21:19:10.408833 ./pingserver:     Responding with message="You said xjfeiwjfeiwq. Don't you know how to play ping pong?"
09/25/2024 21:19:10.408857 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=61 |You said xjfeiwjfeiwq. Don't you know how to play ping pong?.|
09/25/2024 21:19:10.408917 ./pingserver:     C150DgmSocket::write: Success writing packet with len=61 |You said xjfeiwjfeiwq. Don't you know how to play ping pong?.|
09/25/2024 21:19:12.984841 ./pingserver:     C150DgmSocket::read: successful read with len=8 |ononomo.|
09/25/2024 21:19:12.984861 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 8 |ononomo.|
09/25/2024 21:19:12.984879 ./pingserver:     Successfully read 8 bytes. Message="ononomo"
09/25/2024 21:19:12.984898 ./pingserver:     Responding with message="You said ononomo. Don't you know how to play ping pong?"
09/25/2024 21:19:12.984921 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=56 |You said ononomo. Don't you know how to play ping pong?.|
09/25/2024 21:19:12.984996 ./pingserver:     C150DgmSocket::write: Success writing packet with len=56 |You said ononomo. Don't you know how to play ping pong?.|
09/25/2024 21:19:15.301824 ./pingserver:     C150DgmSocket::read: successful read with len=9 |momomomo.|
09/25/2024 21:19:15.301844 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 9 |momomomo.|
09/25/2024 21:19:15.301862 ./pingserver:     Successfully read 9 bytes. Message="momomomo"
09/25/2024 21:19:15.301881 ./pingserver:     Responding with message="You said momomomo. Don't you know how to play ping pong?"
09/25/2024 21:19:15.301905 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=57 |You said momomomo. Don't you know how to play ping pong?.|
09/25/2024 21:19:15.301966 ./pingserver:     C150DgmSocket::write: Success writing packet with len=57 |You said momomomo. Don't you know how to play ping pong?.|
09/25/2024 21:19:16.532387 ./pingserver:     C150DgmSocket::read: successful read with len=11 |noefqiofen.|
09/25/2024 21:19:16.532408 ./pingserver:     C150NastyDgmSocket::read: dropping packet of length 11 |noefqiofen.|
09/25/2024 21:19:17.587924 ./pingserver:     C150DgmSocket::read: successful read with len=11 |noefqiofen.|
09/25/2024 21:19:17.587955 ./pingserver:     C150NastyDgmSocket::read: delivering packet of length 11 |noefqiofen.|
09/25/2024 21:19:17.587982 ./pingserver:     Successfully read 11 bytes. Message="noefqiofen"
09/25/2024 21:19:17.588008 ./pingserver:     Responding with message="You said noefqiofen. Don't you know how to play ping pong?"
09/25/2024 21:19:17.588035 ./pingserver:     C150DgmSocket::write: attempting to send packet with len=59 |You said noefqiofen. Don't you know how to play ping pong?.|
09/25/2024 21:19:17.588155 ./pingserver:     C150DgmSocket::write: Success writing packet with len=59 |You said noefqiofen. Don't you know how to play ping pong?.|
